Hurricane Shelter,Special Needs,Pet Friendly,Island,Zip Code,(none),Location
Waimea Middle,,,HAWAII,96743,,"67-1229 Mamalahoa Hwy
Kamuela, HI
(20.017977782246692, -155.6719819794149)"
Hokulani Elementary ,S ,,OAHU,96816,,"2940 Kamakini Street
Honolulu, HI
(21.290777083194882, -157.81345884509867)"
Aiea High ,S,P ,OAHU,96701,,"98-1276 Ulune Street
Aiea, HI
(21.38343228339153, -157.93013991386263)"
Kealakehe Elementary   ,S,,HAWAII,96740,,"74-5118 Kealakaa
Kailua-Kona, HI
(19.66888369965601, -155.9821726551861)"
Wheeler Elementary,,,OAHU,96786,,"1 Wheeler Army Airfield
Wahiawa, HI
(21.497649999847795, -158.0255499999324)"
Hilo Intermediate   ,S,,HAWAII,96720,,"587 Waianuenue Avenue
Hilo, HI
(19.72175691833604, -155.09467345222035)"
Kahului Elementary  ,S,,MAUI,96732,,"410 South Hina Avenue
Kahului, HI
(20.878969271544886, -156.47007145838424)"
Kuhio Elementary,,,OAHU,96826,,"2759 S. King Street
Honolulu, HI
(21.290444334044025, -157.8194663162544)"
King Intermediate ,S,P ,OAHU,96744,,"46-155 Kamehameha Highway
Kaneohe, HI
(21.480139957392307, -157.84463761672913)"
Lanikai Elementary ,S ,,OAHU,96734,,"140 Alala Road
Kailua, HI
(21.39306597080747, -157.72471374724734)"
Puuhale Elementary ,S ,,OAHU,96819,,"345 Puuhale Road
Honolulu, HI
(21.3278741169035, -157.88464018371775)"
Kilauea Neighborhood Center     ,S,,KAUAI,96754,,"4260 Keneke Street
Kilauea, HI
(22.21259000032842, -159.40904999975754)"
Leilehua High ,S,P ,OAHU,96786,,"1515 California Avenue
Wahiawa, HI
(21.502342590587716, -158.01229894577688)"
Kailua Intermediate ,S ,,OAHU,96734,,"145 South Kainalu Drive
Kailua, HI
(21.394630791138468, -157.7346242760102)"
Maemae Elementary ,S ,,OAHU,96817,,"319 Wyllie Street
Honolulu, HI
(21.32901625588073, -157.84723738051918)"
Kahakai Elementary   ,S,,HAWAII,96740,,"76-147 Royal Poinciana Drive
Kailua-Kona, HI
(19.610879967450884, -155.97644631461813)"
Konawaena High   ,S,P ,HAWAII,96750,,"81-1043 Konawaena School Road
Kealakekua, HI
(19.509319068574825, -155.91552064124363)"
Lanakila Elementary ,S ,,OAHU,96817,,"717 North Kuakini Street
Honolulu, HI
(21.32727157114391, -157.859908827912)"
E B de Silva Elementary,,,HAWAII,96720,,"278 Ainako Avenue
Hilo, HI
(19.70974197602459, -155.11450350296641)"
Puohala Elementary,,,OAHU,96744,,"45-233 Kulauli Street
Kaneohe, HI
(21.41031103662144, -157.78923025234403)"
Waiakea Waena Elementary   ,S,,HAWAII,96720,,"2420 Kilauea Avenue
Hilo, HI
(19.683670630395227, -155.06742399473256)"
Maui Community College,,,MAUI,96732,,"310 West Kaahumanu Avenue
Kahalui, HI
(20.88893388430159, -156.4785750121952)"
Pahoa High and Intermediate   ,S,P ,HAWAII,96778,,"15-3038 Puna Road
Pahoa, HI
(19.494690000443313, -154.94810000011478)"
Kaumana Elementary   ,S,,HAWAII,96720,,"1710 Kaumana Drive
Hilo, HI
(19.686071820213442, -155.13459435710098)"
Wahiawa Middle ,S ,,OAHU,96786,,"275 Rose Street
Wahiawa, HI
(21.49503110248952, -158.01785675591796)"
Moanalua Middle ,S,P ,OAHU,96819,,"1289 Mahiole Street
Honolulu, HI
(21.350249248992498, -157.89257220401618)"
Waialae Elementary ,S ,,OAHU,96816,,"1045 19th Avenue
Honolulu, HI
(21.27594726293171, -157.7930981943553)"
Radford High ,S,P ,OAHU,96818,,"4361 Salt Lake Boulevard
Honolulu, HI
(21.358397106577968, -157.92690831909485)"
Kalaheo High ,S,P ,OAHU,96734,,"730 Iliaina Street
Kailua, HI
(21.409807507419426, -157.7559510150936)"
Waialua High and Intermediate ,S,P ,OAHU,96791,,"67-160 Farrington Highway
Waialua, HI
(21.58090649960855, -158.19345663554796)"
Salt Lake Elementary ,S ,,OAHU,96818,,"1131 Ala Lilikoi Street
Honolulu, HI
(21.35085576599458, -157.91250401228987)"
Eleele Elementary School   ,S,P ,KAUAI,96705,,"4750 Uliuli Road
Eleele, HI
(21.909321781727158, -159.5839091580801)"
Pearl Harbor Kai Elementary,,,OAHU,96818,,"1 C Avenue
Honolulu, HI
(21.34844518126789, -157.93730519294323)"
Wilson Elementary ,S ,,OAHU,96816,,"4945 Kilauea Avenue
Honolulu, HI
(21.28186618535281, -157.7851016396192)"
Anuenue Elementary,,,OAHU,96816,,"2528 10th Avenue
Honolulu, HI
(21.305407738794372, -157.78868776250812)"
Kaimuki Middle ,S,P ,OAHU,96816,,"631 18th Avenue
Honolulu, HI
(21.27018260872393, -157.79763077738298)"
Keaau Middle   ,S,P ,HAWAII,96749,,"16-565 Keaau-Pahoa Road
Kea`au, HI
(19.551520628871533, -154.98350347392125)"
Nuuanu Elementary,,,OAHU,96817,,"3055 Puiwa Lane
Honolulu, HI
(21.336021974488972, -157.83593290261086)"
Kamakahelei Middle     ,,,KAUAI,96766,,"4431 Nuhou Street
Lihue, HI
(21.967480341441206, -159.3876194924496)"
Kawananakoa Middle ,S ,,OAHU,96813,,"49 Funchal Street
Honolulu, HI
(21.32005900846889, -157.85112245168574)"
Linapuni Elementary ,S ,,OAHU,96819,,"1434 Linapuni Street
Honolulu, HI
(21.33940342531912, -157.87805714646328)"
Mokulele Elementary,,,OAHU,96818,,"250 Aupaka Street
Honolulu, HI
(21.34232463039918, -157.94095602844376)"
Kaunakakai Elementary,,,MOLOKAI,96748,,"30 Ailoa Street
Kaunakakai, HI
(21.088664522020913, -157.01830592604378)"
Aliiolani Elementary ,S ,,OAHU,96816,,"1240 7th Avenue
Honolulu, HI
(21.28568692050908, -157.8045285773477)"
Maui Waena Intermediate  ,S,P ,MAUI,96732,,"795 Onehee Avenue
Kahului, HI
(20.87469675311894, -156.48528611290666)"
Makiki District Park,,,OAHU,,,"1527 Keeaumoku Street
Honolulu, HI
(21.303673361095036, -157.8373088653157)"
Waimea Canyon Elementary and Middle   ,S,P ,KAUAI,96796,,"9555 Huakai St
Waimea, HI
(21.960195898937364, -159.67251135732548)"
Manana Elementary ,S ,,OAHU,96782,,"1147 Kumano Street
Pearl City, HI
(21.40775189954593, -157.97202730530483)"
Hawaii Convention Center ,S ,,OAHU,96814,,"1801 Kalakaua Avenue
Honolulu, HI
(21.29030943573963, -157.83554619413826)"
Solomon Elementary,,,OAHU,96786,,"2875 Waianae Uka Avenue
Wahiawa, HI
(21.497649999847795, -158.0255499999324)"
Stevenson Middle ,S,P ,OAHU,96822,,"1202 Prospect Street
Honolulu, HI
(21.309921404851192, -157.84120547870322)"
Waimanalo Elementary and Inter. ,S,P ,OAHU,96795,,"41-1330 Kalanianaole Highway
Waimanalo, HI
(21.34702860279212, -157.71590806024557)"
King Kaumualii Elementary     ,S,,KAUAI,96766,,"4380 Hanamaulu Road
Lihue, HI
(21.994913859283628, -159.35120511155063)"
Kauai High   ,S,P ,KAUAI,96766,,"3577 Lala Road
Lihue, HI
(21.959692808588215, -159.35860201007958)"
Pearl City High ,S,P ,OAHU,96782,,"2100 Hookiekie Street
Pearl City, HI
(21.413669438498744, -157.9554977664063)"
King Kekaulike High  ,S,P ,MAUI,96768,,"121 Kula Highway
Pukalani, HI"
Pearlridge Elementary ,S ,,OAHU,96701,,"98-940 Moanalua Road
Aiea, HI
(21.387481181005512, -157.94459798341117)"
Lahainaluna High,,,MAUI,96761,,"980 Lahainaluna Road
Lahaina, HI
(20.889391675077718, -156.65968264082852)"
Kailua Elementary ,S ,,OAHU,96734,,"315 Kuulei Road
Kailua, HI
(21.396078699605653, -157.74100946241825)"
Kahaluu Elementary ,S ,,OAHU,96744,,"47-280 Waihee Road
Kaneohe, HI
(21.457610312850363, -157.84647295679426)"
Makalapa Elementary ,S ,,OAHU,96818,,"4435 Salt Lake Blvd.
Honolulu, HI
(21.361661645544302, -157.92778965468355)"
Koloa Elementary School     ,S,,KAUAI,96756,,"3223 Poipu Road
Koloa, HI
(21.89898857161046, -159.4660979722418)"
Kealakehe Intermediate   ,S,,HAWAII,96740,,"74-5062 Onipa'a Street
Kailua-Kona, HI
(19.67118263980798, -155.9849789887266)"
Mililani Middle ,S,P ,OAHU,96789,,"95-1140 Lehiwa Drive
Mililani, HI
(21.47454829566306, -157.9900529740592)"
Honaunau Elementary,,,HAWAII,96704,,"83-5360 Mamalahoa Highway
Captain Cook, HI
(19.45072823836591, -155.87971863125722)"
Kapolei High ,S ,,OAHU,96707,,"91-5007 Kapolei Parkway
Kapolei, HI
(21.32971772706361, -158.07104266073077)"
Nimitz Elementary,,,OAHU,96818,,"520 Main Street
Honolulu, HI
(21.340285272914997, -157.9358516168409)"
Brigham Young Unversity of Hawaii ,S ,,OAHU,96762,,"55-220 Kulanui Street
Laie, HI
(21.642733334130146, -157.9251513368679)"
Iliahi Elementary,,,OAHU,96786,,"2035 California Avenue
Wahiawa, HI
(21.50657839734572, -157.99962749838406)"
Kauai War Memorial Convention Hall,,,KAUAI,96766,,"4191 Hardy Street
Lihue, HI
(21.973200625468337, -159.36327848463193)"
Waipahu Elementary ,S,P ,OAHU,96797,,"94-465 Waipahu Street
Waipahu, HI
(21.385232875932275, -158.01683152880454)"
Kapunahala Elementary,,,OAHU,96744,,"45-828 Anoi Road
Kaneohe, HI
(21.40866920801585, -157.80329650616756)"
Kahuku Elementary,,,OAHU,96731,,"56-170 Pualalea Street
Kahuku, HI
(21.674976447332142, -157.95171162066293)"
Pahoa Elementary   ,S,,HAWAII,96778,,"15-3030 Puna Road
Pahoa, HI
(19.494690000443313, -154.94810000011478)"
Momilani Elementary,,,OAHU,96782,,"2130 Ho'okiekie Street
Pearl City, HI
(21.41362447239726, -157.95547078674542)"
Kalihi-Kai Elementary ,S ,,OAHU,96817,,"626 McNeill Street
Honolulu, HI
(21.326417215216054, -157.87719379731516)"
Enchanted Lake Elementary ,S ,,OAHU,96734,,"770 Keolu Drive
Kailua, HI
(21.38392101053033, -157.73140410857056)"
Farrington High,,,OAHU,96817,,"1564 North King Street
Honolulu, HI
(21.330127620131307, -157.87368439450705)"
Benjamin Parker Elementary,,,OAHU,96744,,"45-259 Waikalua Road
Kaneohe, HI
(21.413489574092864, -157.79909667229074)"
Kahuku High and Intermediate ,S,P ,OAHU,96731,,"56-490 Kamehameha Highway
Kahuku, HI
(21.69276575157133, -158.01930672956433)"
Kapaa Middle School   ,S,P ,KAUAI,96746,,"4867 Olohena Road
Kapaa, HI
(22.079317480673573, -159.32777798395654)"
Waiakea Intermediate   ,S,,HAWAII,96720,,"200 W. Puainako Street
Hilo, HI
(19.6942626522989, -155.07729576099464)"
Waihee Elementary  ,S,,MAUI,96793,,"2125 Kahekili Highway
Wailuku, HI
(20.934249857899204, -156.51319207547584)"
Aina Haina Elementary ,S ,,OAHU,96821,,"801 W. Hind Drive
Honolulu, HI
(21.279166835796616, -157.7555694860726)"
Waianae Elementary,,,OAHU,96792,,"85-220 McArthur Street
Waianae, HI
(21.444651082408143, -158.1845371008284)"
Kalakaua Middle ,S,P ,OAHU,96819,,"821 Kalihi Street
Honolulu, HI
(21.329816652486784, -157.8767261498599)"
Maunawili Elementary ,S ,,OAHU,96734,,"1465 Ulupii Street
Kailua, HI
(21.37733049777993, -157.7529680660317)"
Highlands Intermediate ,S,P ,OAHU,96782,,"1460 Hoolaulea Street
Pearl City, HI
(21.400404438566568, -157.96175704773023)"
August Ahrens Elementary,,,OAHU,96797,,"94-1170 Waipahu Street
Waipahu, HI
(21.393101943688634, -158.0005897729554)"
Kau High and Pahala Elementary   ,S,P ,HAWAII,96777,,"96-3150 Pikake Street
Pahala, HI
(19.202488378618227, -155.477227057044)"
Moanalua Elementary ,S ,,OAHU,96819,,"1337 Mahiole Street
Honolulu, HI
(21.349430865945862, -157.89023396674)"
Wailuku Elementary  ,S,,MAUI,96793,,"355 S. High Street
Wailuku, HI
(20.882799644602926, -156.50508019077154)"
Wheeler Middle ,S,P ,OAHU,96786,,"2 Wheeler Army Airfield
Wahiawa, HI
(21.497649999847795, -158.0255499999324)"
Kalihi-Waena Elementary ,S ,,OAHU,96819,,"1240 Gulick Avenue
Honolulu, HI
(21.33556332025404, -157.87561998376387)"
Kamaile Elementary,,,OAHU,96792,,"85-180 Ala Akau Street
Waianae, HI
(21.456648038279013, -158.19453756179425)"
Kaneohe Elementary,,,OAHU,96744,,"45-495 Kamehameha Highway
Kaneohe, HI
(21.48016961248204, -157.8446417354916)"
McKinley High ,S ,,OAHU,96814,,"1039 S. King Street
Honolulu, HI
(21.301029354328932, -157.84748919068736)"
Hanalani Elementary,,,OAHU,96789,,"94-294 Anania Dr.
Mililani, HI
(21.440298363786326, -158.00978983731514)"
Kaahumanu Elementary,,,OAHU,96814,,"1141 Kinau Street
Honolulu, HI
(21.302881957709246, -157.84394586189194)"
Kauai Community College,,,KAUAI,96766,,"3-1901 Kaumualii Highway
Lihue, HI
(21.96706953082613, -159.39542095039258)"
Ahuimanu Elementary ,S ,,OAHU,96744,,"47-470 Hui Aeko Place
Kaneohe, HI
(21.435226187541048, -157.8311215297541)"
Kanoelani Elementary,,,OAHU,96797,,"94-1091 Oli Loop
Waipahu, HI
(21.415172729489544, -157.9989003902114)"
Waiakea High   ,S,P ,HAWAII,96720,,"155 W. Kawili Street
Hilo, HI
(19.700780671477286, -155.07744754747839)"
Pearl City Highlands Elementary ,S ,,OAHU,96782,,"1419 Waimano Home Road
Pearl City, HI
(21.40305743855299, -157.96631661041877)"
Jarrett Middle ,S,P ,OAHU,96816,,"1903 Palolo Avenue
Honolulu, HI
(21.297513005194332, -157.79817037060056)"
Waiau Elementary,,,OAHU,96782,,"98-450 Hookanike Street
Pearl City, HI
(21.39812915383243, -157.95405885115943)"
Pukalani Elementary  ,S,,MAUI,96768,,"2945 Iolani Street
Pukalani, HI"
Roosevelt High ,S,P ,OAHU,96822,,"1120 Nehoa Street
Honolulu, HI
(21.309716805131927, -157.8374167839592)"
Kaleiopuu Elementary,,,OAHU,96797,,"94-665 Kaaholo Street
Waipahu, HI
(21.39219362843903, -158.0271737321415)"
Shafter Elementary,,,OAHU,96819,,"2 Fort Shafter
Honolulu, HI
(21.34327362975554, -157.88802259027506)"
Kaimuki High ,S,P ,OAHU,96816,,"2705 Kaimuki Avenue
Honolulu, HI
(21.288258981512854, -157.8163726484736)"
Kapaa High School   ,S,P ,KAUAI,96746,,"4695 Mailihuna Road
Kapaa, HI
(22.09191113333594, -159.31342906454782)"
Castle High ,S,P ,OAHU,96744,,"45-386 Kaneohe Bay Drive
Kaneohe, HI
(21.403866828379364, -157.79649763162607)"
Pearl Harbor Elementary,,,OAHU,96818,,"1 Moanalua Ridge
Honolulu, HI
(21.34478654427891, -157.931033645923)"
Mililani Waena Elementary ,S ,,OAHU,96789,,"95-502 Kipapa Drive
Mililani, HI
(21.455748716249673, -158.00978983731514)"
Palisades Elementary ,S ,,OAHU,96782,,"2306 Auhuhu Street
Pearl City, HI
(21.42475807912001, -157.95380704099122)"
Ilima Intermediate ,S,P ,OAHU,96706,,"91-884 Ft. Weaver Road
Ewa Beach, HI
(21.315409513577436, -158.01207411526957)"
Princess Nahienaena Elementary  ,S,,MAUI,96761,,"816 Niheu Street
Lahaina, HI
(20.886335284261694, -156.66349274402177)"
Waimalu Elementary ,S ,,OAHU,96701,,"98-825 Moanalua Road
Aiea, HI
(21.39071549931093, -157.94962127636302)"
Kalani High ,S,P ,OAHU,96821,,"4680 Kalanianaole Highway
Honolulu, HI
(21.37667059819711, -157.74848982136282)"
Lincoln Elementary,,,OAHU,96813,,"615 Auwaiolimu Street
Honolulu, HI
(21.312108662797268, -157.8396470473472)"
Lanakila District Park,,,OAHU,96817,,"1701 Lanakila Ave.
Honolulu, HI
(21.32758633385413, -157.86070023129778)"
Waiahole Elementary ,S ,,OAHU,96744,,"48-215 Waiahole Valley Road
Kaneohe, HI
(21.482656431366365, -157.85250740761086)"
Kalaheo Elementary School   ,S,P ,KAUAI,96741,,"4400 Maka Road
Kalaheo, HI
(21.92286252484712, -159.52195759400058)"
Mililani High ,S,P ,OAHU,96789,,"95-1200 Meheula Parkway
Mililani, HI
(21.452914108952776, -158.00850159377964)"
Makawao Elementary  ,S,,MAUI,96768,,"3542 Baldwin Avenue
Makawao, HI
(20.857411783715804, -156.31279614768692)"
Waimea Elementary   ,S,,HAWAII,96743,,"67-1225 Mamalahoa Highway
Kamuela, HI
(20.017977784904698, -155.67198197656705)"
Lehua Elementary ,S ,,OAHU,96782,,"791 Lehua Avenue
Pearl City, HI
(21.389261838623554, -157.97223414937156)"
Keonepoko Elementary   ,S,,HAWAII,96778,,"15-890 Kahakai Blvd.
Pahoa, HI
(19.5260734379807, -154.92909927340594)"
Honokaa High and Intermediate   ,S,P ,HAWAII,96727,,"45-527 Pakalana Street
Honokaa, HI
(20.0754962453409, -155.46406997575534)"
Lanai High ,S,,LANAI,96763,,"555 Fraser Avenue
Lanai City, HI
(20.826403590649665, -156.92192135269593)"
Kauluwela Elementary,,,OAHU,96817,,"1486 Aala Street
Honolulu, HI
(21.318467208477045, -157.85844293300423)"
Waipahu High ,S,P ,OAHU,96797,,"94-1211 Farrington Highway
Waipahu, HI
(21.390341025058717, -157.99353908824568)"
Kauai Humane Society [pets only] ,,P ,KAUAI,96766,,"3 Kaumualii Hwy 825
Lihue, HI
(21.974889999673906, -159.36859000002835)"
Kaahumanu Elementary,,,OAHU,96814,,"1141 Kinau Street
Honolulu, HI
(21.302881957709246, -157.84394586189194)"
Barbers Point Elementary,,,OAHU,96707,,"3001 Boxer Road
Kapolei, HI
(21.321283963735834, -158.0829662454299)"
Makakilo Elementary,,,OAHU,96707,,"92-675 Anipeahi Street
Kapolei, HI
(21.34553680155898, -158.08479329455875)"
Nanakuli High & Intermediate ,S,P ,OAHU,96792,,"89-980 Nanakuli Avenue
Waianae, HI
(21.3865099132139, -158.13102744008506)"
Lihikai Elementary  ,S,,MAUI,96732,,"335 S. Papa Avenue
Kahului, HI
(20.88004771919327, -156.48516020782256)"
Baldwin High  ,S,P ,MAUI,96793,,"1650 Kaahumanu Avenue
Wailuku, HI
(20.8888880547413, -156.49198606202495)"
Kaewai Elementary ,S ,,OAHU,96819,,"1929 Kam IV Road
Honolulu, HI
(21.304770000335395, -157.85761000030112)"
Kapalama Elementary ,S ,,OAHU,96817,,"1601 North School Street
Honolulu, HI
(21.335527347372874, -157.8690369465094)"
Holualoa Elementary,,,HAWAII,96725,,"76-5957 Mamalahoa Highway
Holualoa, HI
(19.617138786667567, -155.94919125802065)"
Kalihi Elementary,,,OAHU,96819,,"2471 Kula Kolea Drive
Honolulu, HI
(21.351324332590398, -157.86161333095993)"
Pauoa Elementary,,,OAHU,96813,,"2301 Pauoa Road
Honolulu, HI
(21.31928559152368, -157.8439908279934)"
Aliamanu Middle ,S ,,OAHU,96818,,"3271 Salt Lake Boulevard
Honolulu, HI
(21.344286743938255, -157.91533404457775)"
Helemano Elementary ,S ,,OAHU,96786,,"1001 Ihi Ihi Avenue
Wahiawa, HI
(21.51356612951338, -158.02226343386153)"
Central Middle ,P ,,OAHU,96813,,"1302 Queen Emma Street
Honolulu, HI
(21.31070605936418, -157.85687811267326)"
Kaimiloa Elementary,,,OAHU,96706,,"91-1028 Kaunolu Street
Ewa Beach, HI
(21.31980719830068, -158.00844984749148)"
Fern Elementary,,,OAHU,96819,,"1121 Middle Street
Honolulu, HI
(21.339457384640923, -157.88177134644428)"
Kahala Elementary ,S ,,OAHU,96816,,"4559 Kilauea Avenue
Honolulu, HI
(21.273686689543133, -157.78537449488505)"
Paia Elementary  ,S,,MAUI,96779,,"955 Baldwin Avenue
Paia, HI
(20.899437102144987, -156.3630502626842)"
Wilcox Elementary,,,KAUAI,96766,,"4319 Hardy Street
Lihue, HI
(21.976266635002744, -159.3640747731404)"
Kihei Elementary  ,S,,MAUI,96753,,"250 E. Lipoa Street
Kihei, HI
(20.748656770712557, -156.4468041232729)"
Aikahi Elementary,,,OAHU,96734,,"281 Ilihau Street
Kailua, HI
(21.424973916407055, -157.74832095051644)"
Haiku Elementary,,,MAUI,96708,,"105 Pauwela Road
Haiku, HI
(20.926665223310525, -156.32243292557231)"
Noelani Elementary ,S ,,OAHU,96822,,"2655 Woodlawn Drive
Honolulu, HI
(21.306547470504874, -157.81181985336215)"
Manoa Elementary ,S ,,OAHU,96822,,"3155 Manoa Road
Honolulu, HI
(21.31719017119542, -157.80904317393478)"
Makaha Elementary,,,OAHU,96792,,"84-200 Ala Naauao Place
Waianae, HI
(21.46926222680731, -158.21248420568847)"
Keaau Elementary,,,HAWAII,96749,,"16-680 Keauu-Pahoa Road
Kea`au, HI
(19.620570000305406, -155.03814000016072)"
Kalihi-Uka Elementary ,S ,,OAHU,96819,,"2411 Kalihi Street
Honolulu, HI
(21.345590760880725, -157.86219310586642)"
Waikiki Elementary,,,OAHU,96815,,"3710 Leahi Avenue
Honolulu, HI
(21.267331757891043, -157.81540138068195)"
Lahaina Intermediate  ,S,,MAUI,96761,,"871 Lahainaluna Road
Lahaina, HI
(20.885589717809303, -156.66126435421876)"
Kualapuu Elementary,,,MOLOKAI,96757,,"260 Farrington Avenue
Kualapuu, HI
(21.154215770083376, -157.03783039619293)"
Pearl City Elementary,,,OAHU,96782,,"1090 Waimano Home Road
Pearl City, HI
(21.395860245661787, -157.96947536997712)"
Kealakehe High   ,S,P ,HAWAII,96740,,"74-5000 Puohulihuli Street
Kailua-Kona, HI
(19.64013000029945, -155.99567999973206)"
Keaau High   ,S,P ,HAWAII,96749,,"16-725 Keaau-Pahoa Road
Kea`au, HI
(19.551517024273476, -154.98349977920822)"
Kaiser High ,S,P ,OAHU,96825,,"511 Lunalilo Home Road
Honolulu, HI
(21.286073628981683, -157.69769811348715)"
Neal Blaisdell Center ,S ,,OAHU,96814,,"777 Ward Avenue
Honolulu, HI
(21.299239421463, -157.85238370719622)"
Webling Elementary,,,OAHU,96701,,"99-370 Paihi Street
Aiea, HI
(21.376640205005142, -157.91792824873806)"
Liholiho Elementary ,S ,,OAHU,96816,,"3430 Maunaloa Avenue
Honolulu, HI
(21.27842939173263, -157.80651607903246)"
Leihoku Elementary,,,OAHU,96792,,"86-285 Leihoku Street
Waianae, HI
(21.439138238368514, -158.175040260199)"
Mokapu Elementary ,S ,,OAHU,96734,,"1193 Mokapu Road
Kailua, HI
(21.455193264040716, -157.7652190842768)"
